"","Exp_OTU","Domain","Phylum","Class","Order","Family","Genus","Exp_Genus_Mean"
"237","OTU747","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6",0.013271400132714
"260","OTU914","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",0.013271400132714
"7","OTU1055","Bacteria","Firmicutes","Bacilli","Bacillales","uncl_Bacillales","uncl_Bacillales",0.0116124751161248
"81","OTU1802","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Planctopirus",0.0116124751161248
"94","OTU1962","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",0.0116124751161248
"105","OTU2088","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Baekduiaceae","uncl_Baekduiaceae",0.0116124751161248
"119","OTU2172","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Thiobacillaceae","Thiobacillus",0.0116124751161248
"128","OTU2271","Bacteria","Poribacteria","uncl_Poribacteria","uncl_Poribacteria","uncl_Poribacteria","Poribacteria_genera_incertae_sedis",0.0116124751161248
"14","OTU1143","Bacteria","Chlamydiae","Chlamydiia","Chlamydiales","Criblamydiaceae","Estrella",0.0099535500995355
"100","OTU2011","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","uncl_Legionellales","uncl_Legionellales",0.0099535500995355
"102","OTU2060","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Finegoldia",0.0099535500995355
"107","OTU2098","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Variibacter",0.0099535500995355
"123","OTU2223","Bacteria","Firmicutes","Clostridia","uncl_Clostridia","uncl_Clostridia","uncl_Clostridia",0.0099535500995355
"125","OTU2231","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus",0.0099535500995355
"134","OTU2388","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","uncl_Ruminococcaceae",0.0099535500995355
"242","OTU763","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella",0.0099535500995355
"259","OTU909","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Conexibacteraceae","uncl_Conexibacteraceae",0.0099535500995355
"8","OTU1084","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Paenibacillus",0.00829462508294625
"20","OTU1200","Bacteria","Acidobacteria","Blastocatellia","Blastocatellales","Blastocatellales_incertae_sedis","Chloracidobacterium",0.00829462508294625
"29","OTU1254","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus",0.00829462508294625
"76","OTU1761","Bacteria","Chloroflexi","Caldilineae","Caldilineales","Caldilineaceae","uncl_Caldilineaceae",0.00829462508294625
"85","OTU1849","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillales_Incertae_Sedis_XI","Gemella",0.00829462508294625
"92","OTU1946","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus",0.00829462508294625
"97","OTU1991","Bacteria","Firmicutes","Bacilli","Lactobacillales","uncl_Lactobacillales","uncl_Lactobacillales",0.00829462508294625
"116","OTU2168","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",0.00829462508294625
"144","OTU2519","Bacteria","Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria","uncl_Candidatus_Saccharibacteria",0.00829462508294625
"145","OTU2527","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncl_Sandaracinaceae",0.00829462508294625
"186","OTU433","Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Flavitalea",0.00829462508294625
"33","OTU1282","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Terriglobus",0.006635700066357
"53","OTU1466","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Shewanellaceae","uncl_Shewanellaceae",0.006635700066357
"65","OTU1657","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","uncl_Acetobacteraceae",0.006635700066357
"71","OTU1708","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","Armatimonadetes_gp7",0.006635700066357
